S_1_1	aB	4_1
S_4_1	abcdCedfEghJ	11a142
S_4_1	abcBdcEDGjeF	11a147
S_4_1	abcBdceDGjEF	11a151
S_4_1	abAcBdCeDgjEEf	11a158
S_4_1	abcBdCeFEDgfEJ	11a160
S_4_1	abcBdCeDfGjeFG	11a163
S_4_1	abcBcdceFEDGJE	11a170
S_4_1	abcdEDCfEdgFeJ	11a171
S_4_1	abCDEFGh	11a174
S_4_1	abCDEFgh	11a175
S_4_1	abcDEFgh	11a176
S_4_1	abcdEFgh	11a177
S_4_1	aBCDEFGh	11a179
S_4_1	abcDEFGh	11a180
S_4_1	abcdeFGh	11a182
S_4_1	abcdEFGh	11a184
S_4_1	aBcDCedfEghj	11a194
S_4_1	abcdeFgh	11a203
S_4_1	abcdefGh	11a206
S_4_1	abcdEFGj	11a221
S_4_1	abcDCedfEghj	11a223
S_4_1	abcBcdeDFEDGHJ	11a232
S_4_1	abcdCdedFEGJ	11a248
S_4_1	abcdCedfJEFG	11a255
S_4_1	abcDEFGj	11a257
S_4_1	abcDefgj	11a259
S_4_1	abcdEDfegJ	11a261
S_4_1	abcdEDGjeF	11a264
S_4_1	abcdCeDfgJeJEF	11a269
S_4_1	abcbdCeDgJEF	11a277
S_4_1	abcdCCeDfEGj	11a282
S_4_1	aabAcbDCeDFEgJ	11a289
S_4_1	abcdefEEGj	11a293
S_4_1	abcBBdCedfEDGj	11a305
S_4_1	abcDEfgh	11a306
S_4_1	abcdEfgh	11a308
S_4_1	abcdCdEFGJ	11a316
S_4_1	abcBdcEDfJEdFG	11a326
S_4_1	abcdCedfEEGj	11a330
S_4_1	abcdCedfEgHGGj	11a346
S_4_1	abcdcedJEDFEgf	11a348
S_4_1	abcdefGj	11n13
S_4_1	aBCDEFGJ	11n57
S_4_1	abcDEFGJ	11n60
S_4_1	abCDEFGJ	11n61
S_4_1	abcdCedfEgHj	11n88
S_4_1	aBcDCeDFEGHJ	11n104
S_4_1	abcDCeDFEGHJ	11n107
S_4_1	aabAcbDCeDFEGJ	11n120
S_4_1	abcBBdCedfEDgj	11n133
S_4_1	abcdCCeDfEgj	11n149
S_4_1	abcbdCeDGJEF	11n153
S_4_1	abcBdcEDgjeF	12a0007
S_4_1	aBCDefGj	12a0016
S_4_1	abCDefGj	12a0017
S_4_1	aBCDEFgj	12a0018
S_4_1	abcDEFgj	12a0019
S_4_1	abCDEFgj	12a0020
S_4_1	abcDefGj	12a0024
S_4_1	abcdEFgj	12a0026
S_4_1	abcdeDFeGJ	12a0050
S_4_1	abCBdcEDgjeF	12a0069
S_4_1	abcBdcEDgjeF	12a0070
S_4_1	abcBdceDfEGJ	12a0071
S_4_1	abAcbdCdEFgJ	12a0074
S_4_1	aBCdeFGj	12a0077
S_4_1	abAbCDEfgJ	12a0079
S_4_1	abCdeFGj	12a0084
S_4_1	aBcdeFGj	12a0087
S_4_1	abcBcDEfgJ	12a0090
S_4_1	abcBdceDFeGJ	12a0092
S_4_1	aBCDeFGj	12a0098
S_4_1	abCDeFGj	12a0099
S_4_1	abcDeFGj	12a0112
S_4_1	aBCdEDfeGJ	12a0137
S_4_1	abcdEDfeGJ	12a0138
S_4_1	abCdEDfeGJ	12a0139
S_4_1	aBCDEfgj	12a0141
S_4_1	abcDEfgj	12a0142
S_4_1	abCDEfgj	12a0149
S_4_1	abcdEfgj	12a0158
S_4_1	aBCDEfGJ	12a0172
S_4_1	abcDEfGJ	12a0173
S_4_1	abCDEFeFgJ	12a0174
S_4_1	abcdEfGJ	12a0179
S_4_1	abCBdcEDfeGJ	12a0184
S_4_1	abcBdcEDfeGJ	12a0185
S_4_1	abcBdceDgjEF	12a0186
S_4_1	aBCdEDgjeF	12a0189
S_4_1	abcdEDgjeF	12a0190
S_4_1	abCdEDgjeF	12a0191
S_4_1	abcdeFgJ	12a0193
S_4_1	abcdCdEFgJ	12a0200
S_4_1	aBccDCedFEgJ	12a0202
S_4_1	aBCdefgJ	12a0203
S_4_1	abAbCDEFGj	12a0207
S_4_1	aBcDCedFGjEf	12a0209
S_4_1	aBCdedFEGJ	12a0213
S_4_1	aBCdeDfEgJ	12a0214
S_4_1	abcdCedFEGhJ	12a0215
S_4_1	abcdCedfEgHJ	12a0216
S_4_1	aBcDCedFEghJ	12a0217
S_4_1	abcdCedFEghJ	12a0219
S_4_1	aBcDCedfEgHj	12a0220
S_4_1	aBcDCeDFgjEf	12a0222
S_4_1	abCBdCEDGjeF	12a0224
S_4_1	abcDCedFEghJ	12a0225
S_4_1	aBcDCeDfgj	12a0228
S_4_1	abCBdCEDfegJ	12a0233
S_4_1	abCDefgJ	12a0242
S_4_1	abCDeeFEgJ	12a0245
S_4_1	aBCdEFGJ	12a0246
S_4_1	abcDCedfEgHj	12a0250
S_4_1	aBCDefgJ	12a0258
S_4_1	aBCDEFegfJ	12a0260
S_4_1	abCBdceFEDgfEJ	12a0261
S_4_1	aBcDCeedGJEF	12a0262
S_4_1	aBcdEDCjeDfEGF	12a0264
S_4_1	aBcDCeDfEDgj	12a0265
S_4_1	abcBcDEFGj	12a0271
S_4_1	abcdCedfEGHJ	12a0278
S_4_1	aBcDCedFEghj	12a0280
S_4_1	abcDCedFEghj	12a0281
S_4_1	aBcdedFEGJ	12a0282
S_4_1	aBcdeDfEgJ	12a0283
S_4_1	abAbCdEDfegJ	12a0288
S_4_1	aBcdCedfEGHj	12a0298
S_4_1	abCdefgJ	12a0299
