manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
12n0525,S_3_1,abCBeHcD,4.56949541557,"[1, -7, 13, -9, 3, -9, 13, -7, 1]","[3, 3, 3, 7]",[7],True,False
12n0528,S_3_1,abAbcbdCeh,4.81599486926,"[1, -2, -10, -15, -10, -2, 1]",[10],[10],True,True
12n0529,S_3_1,abcBeHcD,6.56077570487,"[1, -8, 10, -5, 10, -8, 1]","[3, 3, 8]",[8],True,False
12n0536,S_3_1,abAcBcDCegH,4.75026835833,"[1, -6, 6, -1, 6, -14, 6, -1, 6, -6, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0542,S_3_1,abAccbDCeH,5.16005957323,"[1, -7, 12, -15, 12, -7, 1]","[3, 3, 8]",[8],True,False
12n0543,S_3_1,abAcDGhCbCdE,4.20473112453,"[1, -4, -3, 9, 2, -9, 4, -9, 2, 9, -3, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0548,S_3_1,abAcBGhCDDCed,4.87444402146,"[1, -8, 20, -27, 20, -8, 1]","[4, 4, 6]",[6],True,True
12n0549,S_3_1,abAcbdcbGGHCDE,2.61803398875,"[1, -3, 1]","[3, 3, 4, 4, 4]",[3],True,False
12n0552,S_3_1,abCBegHCD,2.83759795159,"[1, -4, 3, 1, -1, 1, 3, -4, 1]","[3, 3, 3, 3, 4, 4]",[3],True,False
12n0555,S_3_1,abAbccDCEf,4.61347026758,"[1, -2, 5, -1]","[3, 3, 8]",[8],False,False
12n0558,S_3_1,abcBcDEh,3.61297166368,"[1, -2, -4, -5, -5, -1, -5, -5, -4, -2, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0577,S_3_1,abcBdCeDCCgH,2.27468176998,"[1, -1, -2, -1, 0, -3, -4, -3, 0, -1, -2, -1, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
12n0579,S_3_1,abAcbdcBGhCdE,2.29776255986,"[1, -2, -3, 7, -5, -2, 12, -2, -5, 7, -3, -2, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
12n0584,S_3_1,abcdHCdE,5.17814486979,"[1, -6, 3, 7, -4, 7, 3, -6, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0586,S_3_1,abcDeHCD,4.89214241506,"[1, -4, -2, -11, -2, -4, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0587,S_3_1,abcDEHCd,6.61847846761,"[1, -8, 10, -7, 10, -8, 1]","[3, 3, 8]",[8],True,False
12n0598,S_3_1,aabAcBeHCd,4.82571108122,"[1, -4, -2, -9, -2, -4, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0601,S_3_1,abccEhCD,3.19400965612,"[1, -2, -2, -5, -3, 3, -3, -5, -2, -2, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0602,S_3_1,abceHCCd,5.99548549619,"[1, -6, 1, -6, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0612,S_3_1,aBcdGhCDE,5.77568883689,"[1, -9, 23, -29, 23, -9, 1]","[4, 4, 6]",[6],True,True
12n0614,S_3_1,abAcbdCBGhCdE,4.09549111073,"[1, -4, 0, -1, -3, 3, -3, -1, 0, -4, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0616,S_3_1,aBBCBDCCDEgH,3.51493764738,"[1, -4, 2, -1, -3, 11, -3, -1, 2, -4, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0617,S_3_1,abacbhCBdCeD,3.26643734015,"[1, -4, 2, 2, -3, 2, 2, -4, 1]","[3, 3, 3, 3, 4, 4]",[3],True,False
12n0621,S_3_1,abCBegHcD,4.44369725087,"[1, -6, 8, -7, 14, -22, 14, -7, 8, -6, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
