manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
v2272,S_2_1,aabacdF,2.018790937,"[1, -1, -2, 1, -2, -1, 1]","[1, 3, 3, 3, 4]",[1],True,False
v2345,S_2_1,aaaabcbd,3.2542636339,"[1, -3, 0, -3, 1]",[6],[6],True,True
v2420,S_2_1,aabACDCEf,2.24332928986,"[1, 0, -2, -6, -2, 0, 1]","[3, 3, 3, 3]",[3],True,False
v2543,S_2_1,abbbCDf,2.018790937,"[1, -1, -2, 1, -2, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v2563,S_2_1,aabcDD,3.2542636339,"[1, -3, 0, -3, 1]","[2, 6]",[2],True,True
v2587,S_2_1,aaabacbdf,2.24332928986,"[1, 0, -2, -6, -2, 0, 1]","[3, 3, 3, 3]",[3],True,False
v2678,S_2_1,aaabAcbd,3.50606805595,"[1, -3, -1, -3, 1]",[6],[6],True,True
v2738,S_2_1,aabbcbdce,2.29663026289,"[1, -2, 0, -2, 1]","[3, 3, 4]",[3],True,False
v2913,S_2_1,aaaaBaCDCEf,2.79497230347,"[1, -2, 0, -6, 0, -2, 1]","[3, 3, 3, 3]",[3],True,False
v2959,S_2_1,aabcbdf,2.61803398875,"[1, -3, 1]","[4, 4]",[4],True,True
v2974,S_2_1,abacdceF,2.45317002238,"[1, -3, 2, -2, 2, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
v3007,S_2_1,aabacdeF,2.45317002238,"[1, -3, 2, -2, 2, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
v3008,S_2_1,aaabcD,2.45317002238,"[1, -3, 2, -2, 2, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
v3009,S_2_1,aabAACDf,2.20113035058,"[1, -2, -1, 2, -1, -2, 1]","[1, 3, 3, 5]",[1],True,False
v3077,S_2_1,aabcF,2.61803398875,"[1, -3, 1]","[2, 4, 4]",[2],True,True
v3078,S_2_1,aabaCCDf,2.29663026289,"[1, -2, 0, -2, 1]","[1, 7]",[1],True,False
v3214,S_2_1,aaBACDEf,2.96557263399,"[1, -3, 1, -3, 1]",[6],[6],False,True
v3215,S_2_1,aaabbcbd,2.96557263399,"[1, -3, 1, -3, 1]",[6],[6],False,True
v3216,S_2_1,aabcbf,2.89005363826,"[1, -2, -2, -2, 1]",[6],[6],True,True
v3217,S_2_1,aBBCDE,2.89005363826,"[1, -2, -2, -2, 1]",[6],[6],True,True
v3261,S_2_1,abbcdf,2.61803398875,"[1, -3, 1]","[4, 4]",[4],True,True
v3262,S_2_1,aaabCDCEf,2.61803398875,"[1, -3, 1]","[4, 4]",[4],True,True
v3328,S_2_1,abbCDCf,2.33290753026,"[1, -2, -2, 4, -2, -2, 1]","[1, 3, 3, 3, 4]",[1],True,False
v3390,S_2_1,aabCCDCEf,2.47032471104,"[1, -1, -1, -6, -1, -1, 1]","[3, 3, 3, 3]",[3],True,False
v3411,S_2_1,aaabacbde,2.29663026289,"[1, -2, 0, -2, 1]","[2, 3, 3, 4]",[2],True,False
v3412,S_2_1,aabCD,2.29663026289,"[1, -2, 0, -2, 1]","[2, 3, 3, 4]",[2],True,False
v3423,S_2_1,aabacbdF,2.32682876974,"[1, -3, 2, -2, 3, -2, 2, -3, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v3485,S_2_1,aaaBCBDf,2.36920540709,"[1, -1, -3, -1, 1]","[1, 3, 4, 4]",[1],True,False
v3486,S_2_1,aaabcdF,2.68266094975,"[1, -1, -4, -2, 3, -2, -4, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v3505,S_2_1,abcDF,2.61803398875,"[1, -3, 1]","[2, 4, 4]",[2],True,True
v3514,S_2_1,aaaBCDf,2.4054397718,"[1, -1, -3, -2, 4, -2, -3, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v3515,S_2_1,aaabcbdF,2.58874943202,"[1, -1, -3, -1, -4, -1, -3, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v3536,S_2_1,abbcdF,2.36920540709,"[1, -1, -3, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
m098,S_3_1,abcdcegh,1.50613567955,"[1, -1, 0, -1, 0, -1, 1]","[4, 8]",[8],True,True
m120,S_3_1,abcBBdCefhcdeg,1.50613567955,"[1, -1, 0, -1, 0, -1, 1]",[10],[10],True,True
m146,S_3_1,aabcdeh,1.58234718368,"[1, 0, -1, -2, -1, 0, 1]",[10],[10],True,True
m192,S_3_1,abcbdeDfEGedch,1.50613567955,"[1, -1, 0, -1, 0, -1, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
m216,S_3_1,aabacbdceh,1.45798747965,"[1, 0, -1, -1, 0, -1, -1, 0, 1]","[3, 3, 3, 7]",[7],True,False
m267,S_3_1,aabacbdcEFGh,1.45798747965,"[1, 0, -1, -1, 0, -1, -1, 0, 1]","[3, 3, 5, 5]",[5],True,False
m376,S_3_1,abacbbghcbdced,1.58234718368,"[1, 0, -1, -2, -1, 0, 1]","[4, 4, 4, 4]",[4],True,True
s148,S_3_1,aaabacbdef,1.46557123188,"[1, 0, 1, -1]","[3, 3, 8]",[8],True,False
s160,S_3_1,abcbdcbedcfh,1.45798747965,"[1, 0, -1, -1, 0, -1, -1, 0, 1]","[3, 3, 5, 5]",[5],True,False
s188,S_3_1,abacbdcEGh,1.50613567955,"[1, -1, 0, -1, 0, -1, 1]","[1, 4, 4, 4, 5]",[1],True,False
s194,S_3_1,abacbdceGh,1.61340072139,"[1, -1, 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, 1]","[1, 3, 3, 3, 3, 3, 3, 5]",[1],True,False
s309,S_3_1,aaaaabacbdcbef,1.46557123188,"[1, 0, 1, -1]","[4, 4, 6]",[6],True,True
s313,S_3_1,aaabcdef,1.94685626827,"[1, -1, -1, -1, -1, -1, 1]",[10],[10],True,True
s363,S_3_1,abcbdcegeh,1.63557312992,"[1, -2, 2, -3, 2, -2, 1]","[3, 5, 6]",[6],True,False
s371,S_3_1,aabacbdcedcgh,1.50613567955,"[1, -1, 0, -1, 0, -1, 1]","[4, 5, 5]",[5],True,False
s385,S_3_1,abcdEGh,1.53292549111,"[1, -1, -1, 0, 0, 1, 0, 0, -1, -1, 1]","[1, 3, 3, 3, 3, 3, 4, 4]",[1],True,False
s408,S_3_1,aabcdegh,1.72208380574,"[1, -1, -1, -1, 1]","[4, 8]",[8],True,True
s451,S_3_1,abcdeGh,1.83925384621,"[1, -1, -1, 0, -2, 0, 1, -1, 1, 0, -2, 0, -1, -1, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
s498,S_3_1,abcbdccegh,1.52768623242,"[1, -1, 1, -3, 2, -3, 1, -1, 1]","[3, 3, 3, 3, 6]",[6],True,False
s526,S_3_1,abcdeF,2.04249053394,"[1, -3, 3, -3, 3, -3, 1]","[2, 6, 6]",[2],True,True
s710,S_3_1,aabacbdcegh,1.6109417831,"[1, -1, 0, -2, 2, -2, 0, -1, 1]","[3, 3, 3, 3, 6]",[6],True,False
s812,S_3_1,abacbdcegeh,1.76590925178,"[1, -2, 2, -4, 4, -4, 2, -2, 1]","[3, 3, 3, 3, 6]",[6],True,False
